system:index,biome_id,eco_id,max_age,max_rate,mean_age,mean_rate,median_age,median_rate,min_age,min_rate,p5_age,p5_rate,p95_age,p95_rate,sdtDev_age,stdDev_rate,.geo
279,5.0,361,100,1.9317493438720703,35.47259354601453,0.9515967374789623,35.0,0.9336106507076162,12,0.16066217422485352,29.0,0.5351281852622307,45.0,1.3787940113869823,5.082015858205573,0.24580023343931975,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,5.0,362,54,1.6606903076171875,33.01780058435022,0.9771636153523677,33.0,0.9882859784817297,23,0.2702341079711914,29.0,0.5976279117917055,38.0,1.3086753606146622,2.7967086164943984,0.20976794240728697,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,5.0,363,49,1.5110969543457031,19.364186223150558,1.0567422626961978,18.0,1.1055030767329208,9,0.4839935302734375,12.0,0.6838080251318777,34.0,1.29286364275742,6.52656564977992,0.18814833129244937,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,5.0,364,47,3.7474822998046875,35.392975283404574,2.308725299030581,36.0,2.3359558549999866,21,1.056976318359375,27.0,1.4924638628959657,40.0,3.1322916471041164,3.9150193846683488,0.5561657084963383,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,5.0,365,35,4.7244415283203125,27.68543006187068,3.388643784125598,28.0,3.6484670890005013,22,1.4454784393310547,26.0,1.679667775771197,30.0,4.320679456667793,1.4327633747686348,0.8311153564883169,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,5.0,366,100,1.7561664581298828,59.64221883499208,0.7785491247054419,61.0,0.7459706743857017,1,0.059998154640197754,33.0,0.12948605849825104,83.0,1.4728769323100215,15.720769461975257,0.36732868468298047,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,5.0,367,88,1.2267417907714844,42.05556606621717,0.47604124588806573,40.0,0.46485247784368916,1,0.07199788093566895,28.0,0.222609653552957,62.0,0.7458966561677295,10.805507555098211,0.15771291044010943,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,5.0,368,95,0.6499423980712891,46.9887676292814,0.2936344498071677,49.0,0.2990406385056909,1,0.036292314529418945,17.0,0.08003294594475165,70.0,0.4823777302879851,16.289108276627143,0.13167964999042897,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,6.0,369,37,2.316129684448242,23.0889536514285,0.8759261036348296,23.0,0.7930001019128685,13,0.3429584503173828,17.0,0.5116807581955598,29.0,1.3712754724345682,3.4694094385633063,0.29300431836711344,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,6.0,370,64,1.2825794219970703,25.62662688547946,0.7511281691757576,23.0,0.8086886239452821,18,0.23639440536499023,21.0,0.3476876667721779,38.0,1.0507816595415915,5.577881379296874,0.22279929484046135,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,6.0,371,56,1.0325813293457031,33.224818567471864,0.5657716201489601,32.0,0.5409816441340134,20,0.3225736618041992,26.0,0.4279154121418438,44.0,0.76378955078125,5.511430565390413,0.10636132631715062,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,6.0,372,48,0.8209867477416992,32.84367272927084,0.6192730919555869,32.0,0.6376979271864099,24,0.33786869049072266,29.0,0.4580285774087006,39.0,0.7274850710578586,3.1345826660481095,0.08643176132561373,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,6.0,373,67,1.413167953491211,28.221786288668884,0.6935951122453459,26.0,0.6523387842531194,14,0.22353029251098633,20.0,0.2929769022723982,44.0,1.1054218149904154,7.829892026761452,0.25365294727322496,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,6.0,374,63,0.8226613998413086,30.006854731779406,0.38766558047257715,30.0,0.36911602970598156,9,0.23923110961914062,24.0,0.2988660185489401,37.0,0.5293073743946742,4.3662947228135875,0.07192759500188518,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,6.0,375,51,0.9414405822753906,29.95603157276179,0.6501528756403068,29.0,0.6738422513619448,18,0.2518939971923828,26.0,0.42772721050926743,35.0,0.7831612477706564,3.028947020461515,0.10611085404869304,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,6.0,376,46,1.4153270721435547,33.27605493843278,1.019440163000133,35.0,1.0136695175013914,18,0.4486675262451172,24.0,0.8183626499843422,39.0,1.2402206301076022,4.986195988071805,0.12888611611328615,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,6.0,377,39,1.2416229248046875,26.633995377283235,0.8261092164723272,26.0,0.8300619967948236,18,0.3757190704345703,21.0,0.5918252577900934,33.0,1.0409695651610724,3.645263243144978,0.1397368925759178,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,6.0,378,41,1.2590150833129883,35.147118131557356,0.9235958146368003,36.0,0.9238401306148039,26,0.5612554550170898,31.0,0.7676190913205231,38.0,1.095667395444043,2.1149920037018295,0.1027322655219406,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,6.0,379,45,1.073028564453125,28.555031515523773,0.5299743799399746,28.0,0.5058389752004475,20,0.25262022018432617,26.0,0.330078331950075,32.0,0.8066389351396247,2.0496945181445847,0.14639269358994586,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,6.0,380,46,1.3145294189453125,33.619258453403496,0.8026715902731382,33.0,0.8066315646577296,22,0.392852783203125,29.0,0.6426780738905145,38.0,0.9550327950951062,2.855549955870903,0.0971103158946428,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,6.0,381,39,1.0294923782348633,30.581517163969693,0.6547438123066863,30.0,0.6699285336103804,23,0.3717384338378906,27.0,0.474678765104757,35.0,0.8261175173874339,2.3192793591754732,0.11431549352533556,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,6.0,382,46,1.0790796279907227,28.216914055050538,0.5575492426206482,28.0,0.5410116027460876,13,0.24087905883789062,23.0,0.3652868179363797,33.0,0.8027320909500122,3.1176082074684266,0.1379302691575546,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,6.0,383,42,1.059239387512207,35.553463592932374,0.7640000261681525,36.0,0.7597821689884748,22,0.5021762847900391,32.0,0.6777772264022304,39.0,0.8769417064103575,1.9976008617793575,0.05900854288641931,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,7.0,384,88,1.0619401931762695,46.53985314146977,0.5512704598263855,47.0,0.529272671403556,16,0.17341899871826172,22.0,0.2206432587692805,78.0,0.970698195725239,18.403260745046357,0.27738323684975363,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,8.0,385,100,1.0359611511230469,52.36267400896125,0.21928888637422558,51.0,0.17638737968327872,15,0.08399677276611328,35.0,0.1159963845504918,74.0,0.38483265682040707,12.262178079682968,0.10728027096532365,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,8.0,386,43,1.3026018142700195,28.350080322487305,0.6337190225974803,28.0,0.6289084381810347,19,0.24669981002807617,23.0,0.418232135126032,35.0,0.8788232803344727,3.7524291488781896,0.14398661519978168,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,8.0,387,50,1.2014999389648438,25.35200158222544,0.8391635122850145,23.0,0.8261717080291388,13,0.6011600494384766,17.0,0.7168502590209297,40.0,1.0215090562817262,7.1314947766887435,0.09356324384340875,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,8.0,388,48,1.0539007186889648,30.229521269584627,0.6740811258603431,31.0,0.6738370495433665,15,0.22695255279541016,20.0,0.5918387709965321,39.0,0.7675019690147916,6.280614136701712,0.06312337684143544,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,8.0,389,93,0.7596182823181152,34.997792698037635,0.29529219398037404,31.0,0.24020160042394803,15,0.07999706268310547,22.0,0.11576689236123394,62.0,0.6308712266412453,12.46112478447184,0.1657178710748278,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,8.0,390,69,0.6383152008056641,44.05092658352509,0.35148189224591825,44.0,0.3261520082988436,22,0.12688541412353516,34.0,0.17007419432716808,54.0,0.5214584899886128,5.588703107563836,0.12115297774991159,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,8.0,391,100,0.3540802001953125,56.45379709879441,0.1577541601974101,52.0,0.13189847019436388,26,0.07253813743591309,37.0,0.10257863465137607,85.0,0.2724913415454683,15.272128732154442,0.057367661166381874,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,8.0,392,46,0.7638130187988281,25.663384442256294,0.5758943774123654,25.0,0.5556580717546227,19,0.4409618377685547,21.0,0.5009661319284786,32.0,0.7001744041255876,3.6799418477931884,0.06150747631070668,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,8.0,393,34,1.6860246658325195,18.024132304023098,1.1999457185593965,17.0,1.1991572161778308,7,0.6166219711303711,13.0,0.9883299743881402,26.0,1.4413051307820977,3.783204393321666,0.1387214956130586,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,8.0,394,74,0.7814064025878906,35.47381991955169,0.27310222541863377,36.0,0.2324742792007771,1,0.05997323989868164,20.0,0.0920002480304476,49.0,0.5682793628065257,8.642007032663708,0.15558480767504307,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,8.0,395,49,0.6110811233520508,22.3190736651947,0.24623868117031922,23.0,0.224640212792932,1,0.08395028114318848,12.0,0.10798913829340906,32.0,0.4315428157089596,6.01771133938343,0.11222721996010651,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,8.0,396,74,0.8823013305664062,24.651703251049447,0.26005036232380496,25.0,0.24022714748829105,1,0.06361055374145508,12.0,0.08401410365112394,36.0,0.5175782010759085,7.033469864835274,0.14605148949151858,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,8.0,397,42,1.0706214904785156,26.370632152001523,0.5960034688434971,25.0,0.5761687038446277,17,0.3408660888671875,22.0,0.45897199172973635,33.0,0.8104836623416419,3.81532519804948,0.10338975365572328,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,8.0,398,100,0.9251604080200195,30.82957185665613,0.21353592240777608,30.0,0.1517499563742618,4,0.09199762344360352,18.0,0.11999489477960941,48.0,0.5447715201028963,9.372321458679984,0.13806050044131976,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,8.0,399,57,1.8266792297363281,21.897786255938826,1.1319124358696209,18.0,1.1367312627321122,8,0.7085361480712891,12.0,0.8554886727587981,42.0,1.4179461473799022,9.601884804157562,0.1716001312747152,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,8.0,400,46,1.0286636352539062,41.92307692307692,0.9316868415245643,42.0,0.9243955612182617,37,0.8830223083496094,38.0,0.894317626953125,45.0,1.0171890258789062,2.074072117340446,0.035440768982013676,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,8.0,401,63,0.9560213088989258,43.991185613662296,0.46191848942255254,45.0,0.4472692675974177,25,0.19796276092529297,34.0,0.2595800093418576,51.0,0.7248033381056511,5.422528015655387,0.13266929596899707,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,8.0,402,100,0.41598987579345703,45.503123577773486,0.0873990096636428,45.0,0.08404497874499604,1,0.02899467945098877,10.0,0.04800741949594711,84.0,0.13597973880796094,23.095704541583782,0.02805702675203564,"{""type"":""MultiPoint"",""coordinates"":[]}"
