system:index,A,B,K,.geo
69,193.41387939453125,0.5943976044654846,0.02655395120382309,"{""type"":""Point"",""coordinates"":[115.58034772627799,3.7596392822514137]}"
70,206.10000610351562,0.5661527514457703,0.021341688930988312,"{""type"":""Point"",""coordinates"":[115.95423960510476,0.4693666338962271]}"
71,204.0992431640625,0.6043135523796082,0.025333045050501823,"{""type"":""Point"",""coordinates"":[113.5902328735911,-1.5189943613647405]}"
72,194.0868682861328,0.6058509945869446,0.026382282376289368,"{""type"":""Point"",""coordinates"":[110.28389751224356,0.5021145393628167]}"
73,206.53713989257812,0.6011741161346436,0.0252278670668602,"{""type"":""Point"",""coordinates"":[115.43245629163685,-1.3444414518627386]}"
74,198.89999389648438,0.51557856798172,0.01959732547402382,"{""type"":""Point"",""coordinates"":[111.01576087940337,-1.4740780174136772]}"
75,198.89999389648438,0.5789282321929932,0.023391863331198692,"{""type"":""Point"",""coordinates"":[114.45856834130683,-1.0123995500980802]}"
76,203.39999389648438,0.5937597751617432,0.024844970554113388,"{""type"":""Point"",""coordinates"":[113.17733881674837,2.162239724980893]}"
77,200.0704345703125,0.5394634008407593,0.02057565562427044,"{""type"":""Point"",""coordinates"":[115.0522790076805,-2.683868962796627]}"
78,176.39999389648438,0.4849647283554077,0.013593021780252457,"{""type"":""Point"",""coordinates"":[117.97925918880102,0.8020521711518329]}"
79,197.10000610351562,0.5890733003616333,0.02602597139775753,"{""type"":""Point"",""coordinates"":[112.15867545961214,1.5510501984417229]}"
80,198.89999389648438,0.48726531863212585,0.011556602083146572,"{""type"":""Point"",""coordinates"":[118.2045563635044,1.0615532407827046]}"
81,190.31700134277344,0.4962626099586487,0.015884429216384888,"{""type"":""Point"",""coordinates"":[116.38815163702387,5.497042238339226]}"
82,184.6053466796875,0.5111039280891418,0.022900598123669624,"{""type"":""Point"",""coordinates"":[115.54108527416581,-2.7158669305928766]}"
83,185.39999389648438,0.4678995609283447,0.013804580084979534,"{""type"":""Point"",""coordinates"":[116.32004152481832,5.374272437221157]}"
84,200.00296020507812,0.6005343198776245,0.025456519797444344,"{""type"":""Point"",""coordinates"":[111.7961422104282,-2.781956844059367]}"
