system:index,A,B,K,.geo
51,184.61550903320312,0.5513279438018799,0.021454082801938057,"{""type"":""Point"",""coordinates"":[-64.63582420362614,-15.76974702155172]}"
52,154.8000030517578,0.44887039065361023,0.02113555185496807,"{""type"":""Point"",""coordinates"":[-56.71842672842069,-11.632418328110955]}"
53,196.1999969482422,0.5921903252601624,0.02564278617501259,"{""type"":""Point"",""coordinates"":[-69.61575435798464,2.659300838534049]}"
54,189.5120086669922,0.5205205678939819,0.023059507831931114,"{""type"":""Point"",""coordinates"":[-51.6600549662402,-6.10681777926244]}"
55,197.8457794189453,0.5497533679008484,0.021663254126906395,"{""type"":""Point"",""coordinates"":[-63.45737556127748,-4.626702160117568]}"
56,198.04002380371094,0.5137692093849182,0.01988818310201168,"{""type"":""Point"",""coordinates"":[-70.98547107990056,-7.762767221309006]}"
57,200.6999969482422,0.5638357400894165,0.02389141544699669,"{""type"":""Point"",""coordinates"":[-74.44086039730772,0.38265961382618063]}"
58,215.19882202148438,0.5493761301040649,0.01983005553483963,"{""type"":""Point"",""coordinates"":[-67.94078973450628,-5.628434152722249]}"
59,179.10000610351562,0.49797558784484863,0.021900177001953125,"{""type"":""Point"",""coordinates"":[-58.53548682407832,2.233495428249975]}"
60,210.80191040039062,0.6050500869750977,0.025694604963064194,"{""type"":""Point"",""coordinates"":[-51.51383919366362,2.9661032448574494]}"
61,199.2053985595703,0.5752125978469849,0.024615388363599777,"{""type"":""Point"",""coordinates"":[-62.84103322665606,-2.881772075652199]}"
62,197.90896606445312,0.5671310424804688,0.023551106452941895,"{""type"":""Point"",""coordinates"":[-60.779621928221566,-2.3382248293855863]}"
63,202.93612670898438,0.5820337533950806,0.02489522099494934,"{""type"":""Point"",""coordinates"":[-69.04989923570224,4.0693491008712375]}"
64,166.5,0.43321657180786133,0.01763308420777321,"{""type"":""Point"",""coordinates"":[-64.92290094175387,-10.135967340113865]}"
65,193.30921936035156,0.529837965965271,0.021735385060310364,"{""type"":""Point"",""coordinates"":[-69.07058981927027,-7.026011554876732]}"
66,186.3000030517578,0.4521386921405792,0.01648039184510708,"{""type"":""Point"",""coordinates"":[-66.74774657948926,-9.60916298568866]}"
67,213.7030487060547,0.5492252111434937,0.02133200317621231,"{""type"":""Point"",""coordinates"":[-54.950008735274004,3.144140415358785]}"
68,187.1999969482422,0.5603582859039307,0.02389763668179512,"{""type"":""Point"",""coordinates"":[-66.5703240796298,-1.1120513425552032]}"
69,188.10000610351562,0.5806132555007935,0.025913024321198463,"{""type"":""Point"",""coordinates"":[-66.39738463552274,-3.4194780486383283]}"
70,194.37306213378906,0.5477651953697205,0.023337537422776222,"{""type"":""Point"",""coordinates"":[-67.89573227802902,-4.372447682225489]}"
71,154.79029846191406,0.4472508728504181,0.02123952843248844,"{""type"":""Point"",""coordinates"":[-59.38912352879369,-11.533595321931774]}"
