system:index,agc,age,biome,ecoregion,rate,stdev_agc,stdev_age,stdev_rate,.geo
191,58.08914896261466,27.364820288737523,1.0,259,1.8151103461232512,3.7328830363118337,3.9444361765069433,0.15516286020544692,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,49.18882989983126,23.730729701952722,1.0,260,1.6499637838722514,7.561965491328994,2.3143259634442432,0.28558182075964994,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,38.36824782746173,21.536594163690797,1.0,261,1.1116547394129068,1.00701147311323,1.6174708888759188,0.053756684595895936,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,52.161080673859416,22.283709352822793,1.0,262,1.6127844467946955,5.094757429494604,3.191936947467165,0.19826683533677295,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,58.50641073286682,21.44271506713078,1.0,263,2.2038667185634955,3.0515954276790875,1.619281832290638,0.21179224370266186,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,61.52246841181821,24.739305128811157,1.0,264,2.217627469204583,3.52359828554357,1.357519952551768,0.1276500356188683,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,58.22218680172668,23.515170109315495,1.0,265,1.9977102329594345,4.22381304720766,1.9767186269375692,0.25205741678023946,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,47.2888864726475,25.155365963179165,1.0,266,1.4512923862598306,2.1939529866757113,1.6064742981446916,0.06462687979119389,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,15.372736930847168,8.830882352941176,1.0,267,0.33933203360613656,1.4258008343694772,1.984313483298443,0.016389092488764745,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,47.36421261253588,31.8082045167723,1.0,268,1.367895879934395,5.691563340654332,5.906461759566064,0.168202689832448,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,57.60802084461773,25.324940758293838,1.0,269,1.963587114031281,6.135633784622371,2.1555909936184428,0.12032111370531134,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,40.04390635658721,25.940416163624743,1.0,270,1.1430825120421872,11.945661259584874,7.087163625107697,0.6380659383678652,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,52.64785632185264,21.50842780429594,1.0,271,1.8331128161462793,6.027338254880494,3.7336593993744396,0.3786304584356672,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,53.389648387269794,22.21325699973164,1.000017890687897,272,1.670078597157082,5.3377347743021035,3.7324254053667816,0.23301873293524963,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,62.13395547249866,24.82376570601149,1.0,273,2.1461459804468808,2.8181799535354153,1.8214778371180218,0.17871921325285178,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,57.91515896219022,22.983176812377543,1.0,274,2.0886533571074084,2.7663180384752013,1.7496399431048977,0.1246084239570005,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,60.259163681491394,24.08489010989011,1.0,275,1.9587107721265855,3.8602240056513906,2.315545230220916,0.1350470354979461,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,49.788618205059535,23.37787356321839,1.0,276,1.2333049801574356,5.484451952692209,3.930350911873263,0.10062485606246899,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,59.524751833616016,23.699303332705703,1.0,277,2.127727019227936,3.634363268515984,1.8382985679824513,0.14080101200601455,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,58.03917438028838,22.460741979526645,1.0,278,2.1273314067640943,2.976995314667831,1.7402396168543302,0.15783075717131612,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,57.10083601901091,21.738006989304246,1.0,279,2.0476363086001346,2.8258271013881053,2.000362144243265,0.2600614944308171,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,60.66098782383124,23.737380354122468,1.0,280,2.1790925142667863,3.1355384695340667,1.338147927147889,0.13194942553270841,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,60.54141620539177,24.750136291318523,1.0,281,2.0821560558673435,2.9835231296883578,2.004375012333207,0.28039630730761705,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,43.906985023837066,22.070075757575758,1.0,282,1.3958043011752042,4.094886370505629,2.0993956302687904,0.12273909504561772,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,56.382401183150826,27.214570580597293,1.0,283,2.0417199239640613,8.3722564667813,2.8424802333607935,0.36221736398218995,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,51.76424631749958,22.315669146249913,1.0,284,1.6237531415530864,4.808644329160823,6.0380335862952235,0.3624818741008196,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,48.04180383859502,29.12803439247503,1.0,285,1.0963402576805967,3.3411157967715783,5.779246144861607,0.16179562376620257,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,48.92745733880802,24.981691468395645,1.0,286,1.267667366645183,4.399565656456515,4.741288637969117,0.22068371973410048,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,33.52566488455651,38.83837118382462,1.0,287,0.7348137228586132,5.596406604807752,6.030410435731688,0.15112593326795218,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,61.300579634259805,23.282791661271528,1.0,288,2.0407573171312077,4.152280427344978,2.0907814283834623,0.20145698552028077,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,57.581001850917275,22.995699225860655,1.0,289,1.9549397116426026,4.092759077895069,1.8994076719745754,0.2104994561322196,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,30.75005971710719,37.977126526194745,2.0,290,0.6468526855788974,5.478527141059358,8.550756754004615,0.23750031332664298,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,42.23315762746616,27.56537054950057,1.9999974136281107,291,1.0561436182547836,4.742664721814885,7.807317468977872,0.3009433805264259,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,35.98457516377312,28.974988748151482,2.0,292,0.9768270977024924,2.1812604211288575,4.357014305340058,0.07095235833430474,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,41.180159815526736,35.99592634837869,2.0,293,0.9781770235633197,4.283272101565076,5.752832863497761,0.23197327897746478,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,31.098531782399427,31.758960634964204,2.0,294,0.6578577190133827,9.522734464871114,6.378047831209495,0.3995291795578925,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,27.742789336742103,38.18426107575044,2.0,295,0.6260208081913439,6.163233093498454,9.079089734010076,0.22719166419574138,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,32.74751183905094,33.39818127608825,2.0,296,0.8219682036204287,3.1257606039831995,7.590744870551333,0.1886279793074897,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,35.282467160151604,24.55248801454786,2.0,297,1.0045888129624412,2.1880110769303363,2.137255544592615,0.06114544954299125,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,25.429185044470767,31.767907694508885,2.0,298,0.4491949319281497,6.044662939636562,7.521496532063647,0.12979625550441662,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,46.85543166508919,21.264378017131254,2.0,299,1.4309493033820906,4.956243319366889,5.615951587163692,0.2873486888422122,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,46.86467098037079,24.07644632913162,1.9999767002959064,300,1.3655644065305692,5.792670641624354,5.7085027130959025,0.33154917116769006,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,46.63681685873986,23.605789949259748,1.9999826232015014,301,1.4884174090988849,4.23395368131361,3.457948614069917,0.3011741670322518,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,42.3056174041415,31.084444358255844,3.0,302,1.1540739174425858,9.278685459149736,5.519531053996889,0.3199835354241404,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,57.963557369929376,22.643502432244613,3.0,303,2.036250854052132,4.575431355449652,2.625596559862978,0.13846577473360344,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,54.782159222526445,25.544998007174172,2.999840573933838,304,1.6861207949112686,3.9243340034831458,2.359294242022904,0.10021144137861634,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,59.52732467651367,23.265357031493608,3.0,305,2.0943554312334576,2.8533168376436806,2.210273174128394,0.26766523423836275,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,54.24487038451024,30.002648837251787,4.0,306,1.5628601404601457,5.954766474931615,4.982874923955438,0.27724117433843865,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,61.66826109276085,31.524223778202135,4.0,307,1.798793979291068,4.097006401537315,4.515577656273877,0.15672815540001883,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,39.05081993989161,31.755353069265865,4.0,308,1.0974960142228178,10.73398947616226,5.3353247839227125,0.2884434367927463,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,45.818902428385975,37.24337912087912,5.0,309,1.1119079182174179,8.971851448325193,5.98885079481076,0.3316040495412876,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,33.89296532102084,39.89193580778851,5.0,310,0.7775478311673495,11.980677284866795,7.658754042155527,0.35470668686359946,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,44.26925105607629,30.76997866302985,7.0,311,1.1872120479616382,4.571230300750068,6.16901169093931,0.3081424985866648,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,47.34861373901367,24.0,1.0,319,1.567361831665039,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,67.71127192179362,28.0,1.0,322,2.0593643188476562,4.56408941238031,1.632993161855452,0.0813860940990312,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,15.140856429545822,57.27734074643639,2.0,324,0.22934401439677013,3.8646574221757626,7.917101934311655,0.066214772201497,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,38.718912926789756,20.177570093457945,3.0,325,1.1891914617235415,0.766871594412045,0.6269150085221437,0.026640143406438166,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,25.65313342265444,43.83315621679065,2.9999964576691465,326,0.4901163420971091,11.354749606623132,8.925795554935993,0.3094746114284598,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,19.428408784142558,54.616801506734106,3.0,327,0.31880656107322003,7.904055368031616,15.376766345729632,0.18039105038705447,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,32.61548236788951,30.67388593898494,4.0,328,1.1148683690443144,2.837733347148409,2.7778726183688063,0.07528322266933235,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,28.99047608070642,20.970390209426032,4.0,329,1.1979276662248366,3.029162871220063,4.431560943775244,0.10746144449165937,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,31.061843343251653,16.599308081256098,4.0,330,1.2329803470873697,2.4949067129654887,2.856428071577883,0.12204230777864997,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,29.73048930326294,20.36112780197954,4.0,331,1.186864256781227,3.580090756088639,4.830202648846348,0.14446327238938944,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,23.151499467708703,43.15096129771898,4.0,332,0.530704349641884,4.608763352020552,8.477714400330864,0.18688719939402218,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,21.846257426415786,24.60247726842466,4.0,333,1.0152964524126695,4.903386885983571,2.742526299205367,0.11891692635208487,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,30.843475320875918,30.09639064434165,4.0,334,1.1351103327088212,2.8616054582682704,2.5770174615814003,0.08206258225670508,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,23.87512355164665,21.763378404113503,4.0,335,0.9335811935757287,2.6555417173597418,2.4811942939261535,0.0926914414783598,"{""type"":""MultiPoint"",""coordinates"":[]}"
